[1] Temp = 20.12 °C, Humidity = 50.54 %, Pressure = 939.99 hPa
[121] Temp = 27.18 °C, Humidity = 73.11 %, Pressure = 1041.42 hPa
[122] Temp = 28.08 °C, Humidity = 56.80 %, Pressure = 1041.42 hPa
[123] Temp = 21.89 °C, Humidity = 56.80 %, Pressure = 1041.42 hPa
[124] Temp = 19.42 °C, Humidity = 89.24 %, Pressure = 978.25 hPa
[125] Temp = 33.81 °C, Humidity = 89.24 %, Pressure = 978.25 hPa
[126] Temp = 33.77 °C, Humidity = 75.83 %, Pressure = 978.25 hPa
[127] Temp = 33.84 °C, Humidity = 75.83 %, Pressure = 1084.06 hPa
[128] Temp = 20.01 °C, Humidity = 88.92 %, Pressure = 1084.06 hPa
[129] Temp = 32.07 °C, Humidity = 88.92 %, Pressure = 1084.06 hPa
[130] Temp = 32.95 °C, Humidity = 61.18 %, Pressure = 993.71 hPa
[131] Temp = 23.03 °C, Humidity = 61.18 %, Pressure = 993.71 hPa
[132] Temp = 20.02 °C, Humidity = 31.63 %, Pressure = 993.71 hPa
[133] Temp = 17.40 °C, Humidity = 31.63 %, Pressure = 1062.46 hPa
[134] Temp = 39.82 °C, Humidity = 83.72 %, Pressure = 1062.46 hPa
[135] Temp = 28.77 °C, Humidity = 83.72 %, Pressure = 1062.46 hPa
[136] Temp = 16.94 °C, Humidity = 53.88 %, Pressure = 1049.01 hPa
[137] Temp = 36.18 °C, Humidity = 53.88 %, Pressure = 1049.01 hPa
[138] Temp = 24.86 °C, Humidity = 85.57 %, Pressure = 1049.01 hPa
[139] Temp = 18.69 °C, Humidity = 85.57 %, Pressure = 902.35 hPa
[140] Temp = 15.17 °C, Humidity = 93.30 %, Pressure = 902.35 hPa
[141] Temp = 24.34 °C, Humidity = 93.30 %, Pressure = 902.35 hPa
[142] Temp = 16.23 °C, Humidity = 55.01 %, Pressure = 945.61 hPa
[143] Temp = 20.35 °C, Humidity = 55.01 %, Pressure = 945.61 hPa
[144] Temp = 34.83 °C, Humidity = 91.42 %, Pressure = 945.61 hPa
[145] Temp = 30.42 °C, Humidity = 91.42 %, Pressure = 993.25 hPa
[146] Temp = 20.51 °C, Humidity = 62.68 %, Pressure = 993.25 hPa
[147] Temp = 32.44 °C, Humidity = 62.68 %, Pressure = 993.25 hPa
[148] Temp = 23.95 °C, Humidity = 75.78 %, Pressure = 902.68 hPa
[149] Temp = 36.59 °C, Humidity = 75.78 %, Pressure = 902.68 hPa
[150] Temp = 26.76 °C, Humidity = 96.49 %, Pressure = 902.68 hPa
[151] Temp = 25.43 °C, Humidity = 96.49 %, Pressure = 1008.49 hPa
[152] Temp = 20.98 °C, Humidity = 81.70 %, Pressure = 1008.49 hPa
[153] Temp = 31.35 °C, Humidity = 81.70 %, Pressure = 1008.49 hPa
[154] Temp = 15.78 °C, Humidity = 35.52 %, Pressure = 1063.69 hPa
[155] Temp = 17.23 °C, Humidity = 35.52 %, Pressure = 1063.69 hPa
[156] Temp = 21.42 °C, Humidity = 66.44 %, Pressure = 1063.69 hPa
[157] Temp = 32.96 °C, Humidity = 66.44 %, Pressure = 1021.03 hPa
[158] Temp = 33.89 °C, Humidity = 33.62 %, Pressure = 1021.03 hPa
[159] Temp = 28.35 °C, Humidity = 33.62 %, Pressure = 1021.03 hPa
[160] Temp = 21.19 °C, Humidity = 44.26 %, Pressure = 923.95 hPa
[161] Temp = 37.54 °C, Humidity = 44.26 %, Pressure = 923.95 hPa
[162] Temp = 15.02 °C, Humidity = 62.99 %, Pressure = 923.95 hPa
[163] Temp = 23.83 °C, Humidity = 62.99 %, Pressure = 922.07 hPa
[164] Temp = 30.41 °C, Humidity = 59.37 %, Pressure = 922.07 hPa
[165] Temp = 37.39 °C, Humidity = 59.37 %, Pressure = 922.07 hPa
[166] Temp = 24.54 °C, Humidity = 43.41 %, Pressure = 1099.41 hPa
[167] Temp = 29.62 °C, Humidity = 43.41 %, Pressure = 1099.41 hPa
[168] Temp = 18.21 °C, Humidity = 74.55 %, Pressure = 1099.41 hPa
[169] Temp = 15.87 °C, Humidity = 74.55 %, Pressure = 1027.50 hPa
[170] Temp = 19.86 °C, Humidity = 74.89 %, Pressure = 1027.50 hPa
[171] Temp = 27.50 °C, Humidity = 74.89 %, Pressure = 1027.50 hPa
[172] Temp = 26.59 °C, Humidity = 40.56 %, Pressure = 956.03 hPa
[173] Temp = 35.46 °C, Humidity = 40.56 %, Pressure = 956.03 hPa
[174] Temp = 22.41 °C, Humidity = 27.57 %, Pressure = 956.03 hPa
[175] Temp = 30.67 °C, Humidity = 27.57 %, Pressure = 911.43 hPa
[176] Temp = 16.59 °C, Humidity = 21.40 %, Pressure = 911.43 hPa
[177] Temp = 15.07 °C, Humidity = 21.40 %, Pressure = 911.43 hPa
[178] Temp = 25.53 °C, Humidity = 27.20 %, Pressure = 1079.54 hPa
[179] Temp = 18.97 °C, Humidity = 27.20 %, Pressure = 1079.54 hPa
[180] Temp = 16.75 °C, Humidity = 39.17 %, Pressure = 1079.54 hPa
[181] Temp = 17.92 °C, Humidity = 39.17 %, Pressure = 951.58 hPa
[182] Temp = 30.00 °C, Humidity = 71.13 %, Pressure = 951.58 hPa
[183] Temp = 19.13 °C, Humidity = 71.13 %, Pressure = 951.58 hPa
[184] Temp = 18.43 °C, Humidity = 47.04 %, Pressure = 1059.21 hPa
[185] Temp = 17.32 °C, Humidity = 47.04 %, Pressure = 1059.21 hPa
[186] Temp = 18.98 °C, Humidity = 69.26 %, Pressure = 1059.21 hPa
[187] Temp = 27.87 °C, Humidity = 69.26 %, Pressure = 990.09 hPa
[188] Temp = 16.19 °C, Humidity = 43.43 %, Pressure = 990.09 hPa
[189] Temp = 37.92 °C, Humidity = 43.43 %, Pressure = 990.09 hPa
[190] Temp = 19.06 °C, Humidity = 46.53 %, Pressure = 1068.53 hPa
[191] Temp = 23.45 °C, Humidity = 46.53 %, Pressure = 1068.53 hPa
[192] Temp = 35.00 °C, Humidity = 79.88 %, Pressure = 1068.53 hPa
[193] Temp = 23.34 °C, Humidity = 79.88 %, Pressure = 1018.54 hPa
[194] Temp = 26.53 °C, Humidity = 71.56 %, Pressure = 1018.54 hPa
